Filter_name,LamEff,A_over_E_B_V_SandF,A_SandF,A_over_E_B_V_SFD,A_SFD
CTIO U,0.3734,4.107,0.067,4.968,0.081
CTIO B,0.4309,3.641,0.059,4.325,0.07
CTIO V,0.5517,2.682,0.044,3.24,0.053
CTIO R,0.652,2.119,0.034,2.634,0.043
CTIO I,0.8007,1.516,0.025,1.962,0.032
DSS-II g,0.4621,3.381,0.055,3.907,0.063
DSS-II r,0.6546,2.088,0.034,2.649,0.043
DSS-II i,0.8111,1.487,0.024,1.893,0.031
SDSS u,0.3587,4.239,0.069,5.155,0.084
SDSS g,0.4717,3.303,0.054,3.793,0.062
SDSS r,0.6165,2.285,0.037,2.751,0.045
SDSS i,0.7476,1.698,0.028,2.086,0.034
SDSS z,0.8923,1.263,0.021,1.479,0.024
UKIRT J,1.248,0.709,0.012,0.902,0.015
UKIRT H,1.659,0.449,0.007,0.576,0.009
UKIRT K,2.19,0.302,0.005,0.367,0.006
2MASS J,1.23,0.723,0.012,0.937,0.015
2MASS H,1.64,0.46,0.007,0.591,0.01
2MASS Ks,2.16,0.31,0.005,0.382,0.006
IRAC-1,3.52,0.178,0.003,0.22,0.004
IRAC-2,4.46,0.148,0.002,0.183,0.003
IRAC-3,5.66,0.13,0.002,0.162,0.003
IRAC-4,7.68,0.122,0.002,0.151,0.002
WISE-1,3.32,0.189,0.003,0.234,0.004
WISE-2,4.57,0.146,0.002,0.18,0.003
